transaction_id,customer_id,signup_date,purchase_date,amount,item_category,is_returned
TXN1001,C-2709,2025-09-11,2025-09-14,1039.19,Beauty,TRUE
TXN1002,C-659,2025-11-01,2025-11-17,940.56,Beauty,TRUE
TXN1003,C-6000,2025-01-10,2025-01-13,917.11,Beauty,FALSE
TXN1004,C-4890,2025-06-21,2025-06-24,884.31,Sports,TRUE
TXN1005,C-4587,2025-06-03,2025-06-19,677.51,Sports,FALSE
TXN1006,C-3115,2025-04-10,2025-05-04,747.17,Sports,NULL
TXN1007,C-5110,2025-05-26,2025-06-07,864.02,Home,FALSE
TXN1008,C-3501,2025-07-23,2025-08-19,844.37,Apparel,FALSE
TXN1009,C-2763,2025-02-25,2025-02-27,246.62,Automotive,FALSE
TXN1010,C-5843,2025-07-08,2025-07-21,844.09,Beauty,FALSE
TXN1011,C-1486,2025-01-08,2025-01-26,752.63,Electronics,FALSE
TXN1012,C-2105,2026-01-03,2026-01-12,822.69,Electronics,TRUE
TXN1013,C-5281,NULL,2025-08-18,134.45,Apparel,FALSE
TXN1014,C-2736,2025-06-17,2025-06-27,166.79,Automotive,FALSE
TXN1015,C-2961,2025-05-07,2025-05-12,517.22,Automotive,FALSE
TXN1016,C-2128,2025-03-18,2025-04-09,704.76,Beauty,FALSE
TXN1017,C-4762,2025-11-14,2025-11-26,1051.93,Automotive,FALSE
TXN1018,C-3222,2025-10-09,2025-11-08,827.98,Sports,NULL
TXN1019,C-2293,2024-12-25,2025-01-13,739.59,Apparel,TRUE
TXN1020,C-698,2025-10-09,2025-10-13,811.79,Beauty,FALSE
TXN1021,C-510,2025-09-17,2025-10-09,918.03,Automotive,FALSE
TXN1022,C-3328,2025-03-09,2025-03-25,1092.00,Automotive,FALSE
TXN1023,C-285,2024-12-10,2025-01-06,1033.81,Apparel,FALSE
TXN1024,C-5755,2025-04-20,2025-04-23,246.78,Beauty,TRUE
TXN1025,C-4874,2026-01-05,2026-01-15,545.61,Automotive,TRUE
TXN1026,C-2769,2025-06-29,2025-06-29,162.66,Automotive,FALSE
TXN1027,C-3175,2025-09-02,2025-09-07,858.75,Automotive,FALSE
